week,¼Ò¸Å°¡,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,ÃÖ°í±â¿Â,°­¼ö·®,È¯À²,¼öÃâ·®,¼öÃâ¾×,»ý»ê·®,Àç¹è¸éÀû,¹°°¡Áö¼ö
07??3ì£?(2019.07.18 ~ 2019.07.24),3216,25.82857143,23.07142857,29.32857143,14.18571429,1183.24,606927,50986.5694,38743854,504,69
07??4ì£?(2019.07.25 ~ 2019.07.31),3304,27.38571429,24.75714286,30.8,9.3,1204.51,606927,50986.5694,38743854,504,69
08??1ì£?(2019.08.01 ~ 2019.08.07),3298,28.21428571,24.11428571,33.48571429,4.414285714,1213.45,318673,31971.9748,38743854,504,75.347
08??2ì£?(2019.08.08 ~ 2019.08.14),3421,28.22857143,24.57142857,32.88571429,4.528571429,1207.47,318673,31971.9748,38743854,504,75
08??3ì£?(2019.08.16 ~ 2019.08.21),3436,25.84285714,22.11428571,30.48571429,4.142857143,1212.66,318673,31971.9748,38743854,504,75
08??4ì£?(2019.08.22 ~ 2019.08.28),3608,23.9,20.3,28.45714286,6.3,1209.5,318673,31971.9748,38743854,504,75
08??5ì£?(2019.08.29 ~ 2019.09.04),3867,22.44285714,19.24285714,26.45714286,5.942857143,1191.77,318673,31971.9748,38743854,504,75
09??1ì£?(2019.09.05 ~ 2019.09.11),4933,24.85714286,22.1,28.74285714,9.814285714,1178.72,8300,1233.5806,38743854,504,107.702
09??2ì£?(2019.09.16 ~ 2019.09.18),3863.661871,21.84285714,17.4,27.3,0.9,1193.13,8300,1233.5806,38743854,504,108
09??3ì£?(2019.09.16 ~ 2019.09.18),5230,18.3,14.31428571,23.05714286,15.08571429,1201.99,8300,1233.5806,38743854,504,108
09??4ì£?(2019.09.26 ~ 2019.10.02),6941,21.45714286,17.71428571,26.37142857,16.38571429,1191.25,8300,1233.5806,38743854,504,108
10??1ì£?(2019.10.04 ~ 2019.10.08),7762,17.5,13.38571429,22.5,5.442857143,1182.48,92927,7876.2344,38743854,504,132.474
10??2ì£?(2019.10.10 ~ 2019.10.16),6865,15.17142857,9.757142857,21.58571429,0.514285714,1177.91,92927,7876.2344,38743854,504,132
10??3ì£?(2019.10.17 ~ 2019.10.23),6393,15.12857143,10.28571429,21.34285714,0.642857143,1171.66,92927,7876.2344,38743854,504,132
10??4ì£?(2019.10.24 ~ 2019.10.30),5623,13.08571429,7.914285714,19.08571429,0.428571429,1164.67,92927,7876.2344,38743854,504,132
10??5ì£?(2019.10.31 ~ 2019.11.06),4958,12.54285714,6.885714286,19.72857143,0.271428571,1158.6,92927,7876.2344,38743854,504,132
11??1ì£?(2019.11.07 ~ 2019.11.13),4388,9.228571429,3.642857143,15.91428571,1.685714286,1162.65,345356,28271.8879,38743854,504,92.649
11??2ì£?(2019.11.14 ~ 2019.11.20),4446,6.414285714,1.242857143,12.25714286,5.214285714,1179.33,345356,28271.8879,38743854,504,93
11??3ì£?(2019.11.21 ~ 2019.11.27),4661,7.957142857,2.614285714,14.32857143,0.7,1180.7,345356,28271.8879,38743854,504,93
11??4ì£?(2019.11.28 ~ 2019.12.04),4604,4,-0.385714286,9,2.285714286,1185.51,345356,28271.8879,38743854,504,93
12??1ì£?(2019.12.05 ~ 2019.12.11),4618,1.757142857,-3.585714286,7.971428571,0.114285714,1175.57,616446,58157.463,38743854,504,83.616
12??2ì£?(2019.12.12 ~ 2019.12.18),4655,4.271428571,-0.628571429,9.857142857,0.428571429,1158.99,616446,58157.463,38743854,504,84
12??3ì£?(2019.12.19 ~ 2019.12.24),4593,1.914285714,-2.557142857,7.528571429,0.142857143,1158.95,616446,58157.463,38743854,504,84
12??4ì£?(2019.12.26 ~ 2019.12.31),4503,0.728571429,-3.542857143,5.342857143,1.171428571,1164.95,616446,58157.463,38743854,504,84
01??1ì£?(2020.01.02 ~ 2020.01.08),4608,3.157142857,-1.114285714,8.571428571,8.057142857,1157.97,166671,14926.6704,46721667,603,88.32
01??2ì£?(2020.01.09 ~ 2020.01.15),4622,0.514285714,-3.157142857,5.214285714,0,1160.44,166671,14926.6704,46721667,603,88
01??3ì£?(2020.01.16 ~ 2020.01.22),4600,1.228571429,-3.185714286,6.528571429,0.757142857,1169.2,166671,14926.6704,46721667,603,88
01??4ì£?(2020.01.23 ~ 2020.01.29),4628,5.342857143,1.742857143,9.7,2.985714286,1194.97,166671,14926.6704,46721667,603,88
01??5ì£?(2020.01.30 ~ 2020.02.05),4493,1.342857143,-3.042857143,6.457142857,0.171428571,1191.39,166671,14926.6704,46721667,603,88
02??1ì£?(2020.02.06 ~ 2020.02.12),4386,1.928571429,-3.642857143,7.642857143,1.928571429,1182.46,399623,38134.3004,46721667,603,86.45
02??2ì£?(2020.02.13 ~ 2020.02.19),4337,3.485714286,-1.285714286,9.314285714,1.357142857,1206.91,399623,38134.3004,46721667,603,86
02??3ì£?(2020.02.20 ~ 2020.02.26),4353,6,0.657142857,11.68571429,4.642857143,1200.2,399623,38134.3004,46721667,603,86
02??4ì£?(2020.02.27 ~ 2020.03.04),4321,5.371428571,1.228571429,10.07142857,0.428571429,1188.7,399623,38134.3004,46721667,603,86
03??1ì£?(2020.03.05 ~ 2020.03.11),4328,5.557142857,-0.014285714,11.52857143,2.057142857,1211.28,170377,16955.7735,46721667,603,88.16
03??2ì£?(2020.03.12 ~ 2020.03.18),4318,6.328571429,-0.242857143,12.9,0.114285714,1254.45,170377,16955.7735,46721667,603,88
03??3ì£?(2020.03.19 ~ 2020.03.25),4293,10.61428571,3.414285714,17.81428571,0.057142857,1212.23,170377,16955.7735,46721667,603,88
03??4ì£?(2020.03.26 ~ 2020.04.01),4460,10.08571429,4.185714286,16.2,2.014285714,1235.61,170377,16955.7735,46721667,603,88
04??1ì£?(2020.04.02 ~ 2020.04.08),4445,9.371428571,2.157142857,16.67142857,0.014285714,1211.05,403890,35231.5206,46721667,603,84.61
04??2ì£?(2020.04.09 ~ 2020.04.14),4435,9.7,3.314285714,16.34285714,0.828571429,1216.13,403890,35231.5206,46721667,603,85
04??3ì£?(2020.04.16 ~ 2020.04.22),4410,10.65714286,6.528571429,15.58571429,4.857142857,1230.53,403890,35231.5206,46721667,603,85
04??4ì£?(2020.04.23 ~ 2020.04.29),4738,11.85714286,4.642857143,18.65714286,0.042857143,1224.89,403890,35231.5206,46721667,603,85
05??1ì£?(2020.05.04 ~ 2020.05.06),5459,18.4,12.95714286,24.31428571,2.042857143,1219.65,439256,4782.5613,46721667,603,90.99
05??1ì£?(2020.05.07 ~ 2020.05.13),5201,16.54285714,11.11428571,21.98571429,5.385714286,1232.69,439256,4782.5613,46721667,603,91
05??2ì£?(2020.05.14 ~ 2020.05.20),4371,16.61428571,12.48571429,21.65714286,6.457142857,1240.59,439256,4782.5613,46721667,603,91
05??3ì£?(2020.05.21 ~ 2020.05.27),4410,17.57142857,12.72857143,23.2,0.642857143,1231.49,439256,4782.5613,46721667,603,91
05??4ì£?(2020.05.28 ~ 2020.06.03),4620,19.92857143,14,25.95714286,0.385714286,1202.02,439256,4782.5613,46721667,603,91
06??1ì£?(2020.06.04 ~ 2020.06.10),4327,23.58571429,17.95714286,30.17142857,1.928571429,1203.66,1274475,88410.949,46721667,603,86.28
06??2ì£?(2020.06.11 ~ 2020.06.17),4246,23.31428571,19.04285714,28.41428571,8.428571429,1211.83,1274475,88410.949,46721667,603,86
06??3ì£?(2020.06.18 ~ 2020.06.24),4314,22.47142857,18.18571429,27.51428571,5.5,1203.8,1274475,88410.949,46721667,603,86
06??4ì£?(2020.06.25 ~ 2020.07.01),4403,21.95714286,18.74285714,26.15714286,10.47142857,1198.93,1274475,88410.949,46721667,603,86
07??1ì£?(2020.07.02 ~ 2020.07.08),4118,22.4,18.65714286,26.97142857,1.514285714,1200.42,222757,16925.2039,46721667,603,92.97
07??2ì£?(2020.07.09 ~ 2020.07.15),4341,21.52857143,19.11428571,24.72857143,23.2,1203.44,222757,16925.2039,46721667,603,93
07??3ì£?(2020.07.16 ~ 2020.07.22),5102,23.31428571,19.85714286,27.5,7.142857143,1201.5,222757,16925.2039,46721667,603,93
07??4ì£?(2020.07.23 ~ 2020.07.29),5731,22.44285714,20.55714286,25.18571429,23.6,1193.59,222757,16925.2039,46721667,603,93
07??5ì£?(2020.07.30 ~ 2020.08.05),5710,25.84285714,23.2,29.47142857,18.5,1188.68,222757,16925.2039,46721667,603,93
08??1ì£?(2020.08.06 ~ 2020.08.12),6118,25.22857143,23.15714286,28.02857143,34.52857143,1186.94,28341,3304.4893,46721667,603,128.16
08??2ì£?(2020.08.13 ~ 2020.08.19),7111,27.62857143,24.01428571,32.27142857,1.6,1191.72,28341,3304.4893,46721667,603,128
08??3ì£?(2020.08.20 ~ 2020.08.26),8620,26.55714286,22.68571429,31.54285714,3.857142857,1180.48,28341,3304.4893,46721667,603,128
08??4ì£?(2020.08.27 ~ 2020.09.02),9593,26.08571429,23.52857143,29.92857143,14.18571429,1187.3,28341,3304.4893,46721667,603,128
09??1ì£?(2020.09.03 ~ 2020.09.09),9543,21.67142857,18.41428571,25.5,20.01428571,1187.89,2844,990.6842,46721667,603,180.29
09??2ì£?(2020.09.10 ~ 2020.09.16),10615,20.82857143,17.82857143,25.14285714,2.957142857,1164.81,2844,990.6842,46721667,603,180
09??3ì£?(2020.09.17 ~ 2020.09.23),11653,18.38571429,13.78571429,23.84285714,0.571428571,1174.32,2844,990.6842,46721667,603,180
09??4ì£?(2020.09.24 ~ 2020.09.29),11848,18.17142857,13.42857143,24.18571429,0.714285714,1166.26,2844,990.6842,46721667,603,180
10??1ì£?(2020.10.05 ~ 2020.10.07),11095,16.8,12.02857143,22.18571429,0.457142857,1143.52,462157,37706.911,46721667,603,151.16
10??2ì£?(2020.10.08 ~ 2020.10.14),9288,15.21428571,10.35714286,21.14285714,0,1142.13,462157,37706.911,46721667,603,151
10??3ì£?(2020.10.15 ~ 2020.10.21),6528,12.35714286,6.714285714,19.31428571,0.871428571,1127.95,462157,37706.911,46721667,603,151
10??4ì£?(2020.10.22 ~ 2020.10.28),5070,11.6,6.1,18.27142857,0.171428571,1136.49,462157,37706.911,46721667,603,151
10??5ì£?(2020.10.29 ~ 2020.11.04),4295,9.5,4.071428571,15.37142857,0.6,1121.4,462157,37706.911,46721667,603,151
11??1ì£?(2020.11.05 ~ 2020.11.11),3450,9.257142857,3.314285714,15.74285714,0,1107.62,1618679,128689.7096,46721667,603,66.4
11??2ì£?(2020.11.12 ~ 2020.11.18),3139,11.78571429,5.8,18.94285714,0.571428571,1114.95,1618679,128689.7096,46721667,603,66
11??3ì£?(2020.11.19 ~ 2020.11.25),3044,7.542857143,2.914285714,12.41428571,4.642857143,1104.43,1618679,128689.7096,46721667,603,66
11??4ì£?(2020.11.26 ~ 2020.12.02),3038,3.328571429,-0.714285714,8.371428571,0,1083.77,1618679,128689.7096,46721667,603,66
12??1ì£?(2020.12.03 ~ 2020.12.09),2952,1.871428571,-3.142857143,7.785714286,0,1091.67,914116,69963.1635,46721667,603,56.22
12??2ì£?(2020.12.10 ~ 2020.12.16),2932,-0.185714286,-4.214285714,4.571428571,0.3,1099.39,914116,69963.1635,46721667,603,56
12??3ì£?(2020.12.17 ~ 2020.12.23),2789,-1.085714286,-6.4,4.714285714,0.028571429,1099.07,914116,69963.1635,46721667,603,56
12??4ì£?(2020.12.24 ~ 2020.12.30),2787,1.142857143,-3.185714286,7.042857143,0.742857143,1084.73,914116,69963.1635,46721667,603,56
12??5ì£?(2020.12.31 ~ 2021.01.06),2945,-3.657142857,-8.871428571,1.114285714,0.2,1092.93,914116,69963.1635,46721667,603,56
01??1ì£?(2021.01.07 ~ 2021.01.13),2999,-6.571428571,-12.14285714,-0.771428571,0.228571429,1103.27,1050799,75914.6763,42031396,566,56.05
01??2ì£?(2021.01.14 ~ 2021.01.20),3007,-0.5,-6.157142857,5.857142857,0.257142857,1105.41,1050799,75914.6763,42031396,566,56
01??3ì£?(2021.01.21 ~ 2021.01.27),3053,5.585714286,1.742857143,10.08571429,1.871428571,1117.64,1050799,75914.6763,42031396,566,56
01??4ì£?(2021.01.28 ~ 2021.02.03),3284,-0.2,-5.628571429,5.742857143,1.7,1116.77,1050799,75914.6763,42031396,566,56
02??1ì£?(2021.02.04 ~ 2021.02.10),3566,1.814285714,-3.685714286,7.5,0.114285714,1102.59,424712,25395.7726,42031396,566,71.74
02??3ì£?(2021.02.15 ~ 2021.02.17),3704,2.857142857,-2.457142857,9.314285714,0.657142857,1104.27,424712,25395.7726,42031396,566,72
02??3ì£?(2021.02.18 ~ 2021.02.24),4107,4.971428571,-1.571428571,11.87142857,0.014285714,1123.89,424712,25395.7726,42031396,566,72
02??4ì£?(2021.02.25 ~ 2021.03.03),4510,5.485714286,0.457142857,10.51428571,8.157142857,1128,424712,25395.7726,42031396,566,72
03??1ì£?(2021.03.04 ~ 2021.03.10),4532,6.614285714,1.485714286,13.04285714,0.614285714,1136,103820,9467.601,42031396,566,87.9
03??2ì£?(2021.03.11 ~ 2021.03.17),4727,9.1,2.928571429,15.4,2.257142857,1129.12,103820,9467.601,42031396,566,88
03??3ì£?(2021.03.18 ~ 2021.03.24),4862,8.942857143,3.8,14.4,0.857142857,1128.52,103820,9467.601,42031396,566,88
03??4ì£?(2021.03.25 ~ 2021.03.31),4900,12,5.757142857,18.67142857,4.528571429,1128.64,103820,9467.601,42031396,566,88
04??1ì£?(2021.04.01 ~ 2021.04.07),5148,12.68571429,7.1,18.41428571,5.957142857,1120.98,102124,8813.8315,42031396,566,92.16
04??2ì£?(2021.04.08 ~ 2021.04.14),5219,11.25714286,5.328571429,17.31428571,3.5,1116.5,102124,8813.8315,42031396,566,92
04??3ì£?(2021.04.15 ~ 2021.04.21),5254,12.57142857,5.357142857,19.84285714,0.042857143,1114.72,102124,8813.8315,42031396,566,92
04??4ì£?(2021.04.22 ~ 2021.04.28),5238,15.91428571,10.57142857,21.68571429,0.085714286,1117.16,102124,8813.8315,42031396,566,92
04??5ì£?(2021.04.29 ~ 2021.05.04),5208,13.51428571,8.728571429,18.62857143,5.528571429,1111.23,102124,8813.8315,42031396,566,92
05??1ì£?(2021.05.06 ~ 2021.05.12),3923,15.48571429,9.085714286,21.62857143,1.4,1125.79,511712,36968.0089,42031396,566,78.3
05??2ì£?(2021.05.13 ~ 2021.05.18),3327,18.7,14.12857143,23.82857143,8.3,1127.63,511712,36968.0089,42031396,566,78
05??3ì£?(2021.05.20 ~ 2021.05.26),3195,17.44285714,12.72857143,22.7,2.485714286,1113.08,511712,36968.0089,42031396,566,78
05??4ì£?(2021.05.27 ~ 2021.06.02),3244,18.44285714,13.25714286,24.47142857,3.971428571,1110.52,511712,36968.0089,42031396,566,78
06??1ì£?(2021.06.03 ~ 2021.06.09),3250,20.98571429,15.77142857,26.48571429,3.057142857,1116.4,1047855,71596.7847,42031396,566,69.02
06??2ì£?(2021.06.10 ~ 2021.06.16),3261,22.18571429,18.78571429,26.5,6.085714286,1134.94,1047855,71596.7847,42031396,566,69
06??3ì£?(2021.06.17 ~ 2021.06.23),3194,21.31428571,17.31428571,26.2,1.771428571,1127.12,1047855,71596.7847,42031396,566,69
06??4ì£?(2021.06.24 ~ 2021.06.30),3133,22.58571429,18.75714286,27.62857143,2.171428571,1130.53,1047855,71596.7847,42031396,566,69
07??1ì£?(2021.07.01 ~ 2021.07.07),3264,23.45714286,20.4,27.15714286,24.68571429,1143.73,669776,54372.8614,42031396,566,70.59
07??2ì£?(2021.07.08 ~ 2021.07.14),3428,25.82857143,22.55714286,30.41428571,5.628571429,1141.51,669776,54372.8614,42031396,566,71
07??3ì£?(2021.07.15 ~ 2021.07.21),3419,26.4,22.48571429,31.61428571,2.3,1151.52,669776,54372.8614,42031396,566,71
07??4ì£?(2021.07.22 ~ 2021.07.28),3421,27.52857143,22.75714286,32.91428571,0.114285714,1151.41,669776,54372.8614,42031396,566,71
07??5ì£?(2021.07.29 ~ 2021.08.04),3618,27.44285714,23.82857143,32.4,5.985714286,1144.93,669776,54372.8614,42031396,566,71
08??1ì£?(2021.08.05 ~ 2021.08.11),4361,26.45714286,22.54285714,31.74285714,4.014285714,1161.37,356805,29860.662,42031396,566,89.57
08??2ì£?(2021.08.12 ~ 2021.08.18),4443,24.14285714,20.75714286,28.55714286,3.771428571,1175.15,356805,29860.662,42031396,566,90
08??3ì£?(2021.08.19 ~ 2021.08.25),4514,23.67142857,20.91428571,27.14285714,22.25714286,1161.23,356805,29860.662,42031396,566,90
08??4ì£?(2021.08.26 ~ 2021.09.01),4782,23.25714286,20.28571429,27.31428571,11.48571429,1154.28,356805,29860.662,42031396,566,90
09??1ì£?(2021.09.02 ~ 2021.09.08),5309,21.38571429,18.25714286,25.25714286,3.685714286,1170.23,235909,21567.8385,42031396,566,108.11
09??2ì£?(2021.09.09 ~ 2021.09.15),5277,22.21428571,18.21428571,27.3,0.542857143,1180.69,235909,21567.8385,42031396,566,108
09??3ì£?(2021.09.16 ~ 2021.09.17),5538,21.31428571,17.21428571,26.01428571,6.871428571,1179.68,235909,21567.8385,42031396,566,108
09??4ì£?(2021.09.23 ~ 2021.09.29),5586,20.37142857,16.77142857,24.84285714,3.614285714,1180.35,235909,21567.8385,42031396,566,108
09??5ì£?(2021.09.30 ~ 2021.10.06),5157,21.1,16.5,27.07142857,1.985714286,1196.79,235909,21567.8385,42031396,566,108
10??1ì£?(2021.10.07 ~ 2021.10.13),4603,19.3,16.4,23.32857143,4.014285714,1182.07,773443,60753.2312,42031396,566,84.16
10??2ì£?(2021.10.14 ~ 2021.10.20),4075,12.1,7.1,17.94285714,2.171428571,1177.48,773443,60753.2312,42031396,566,84
10??3ì£?(2021.10.21 ~ 2021.10.27),3873,10.62857143,4.914285714,18.18571429,0.128571429,1174.47,773443,60753.2312,42031396,566,84
10??4ì£?(2021.10.28 ~ 2021.11.03),3922,11.78571429,6.4,18.72857143,0.085714286,1181.05,773443,60753.2312,42031396,566,84
11??1ì£?(2021.11.04 ~ 2021.11.10),4231,10.54285714,5.771428571,16.47142857,4.1,1179.2,469894,39248.1544,42031396,566,87.14
11??2ì£?(2021.11.11 ~ 2021.11.17),4625,7.585714286,2.542857143,13.91428571,0.257142857,1187.1,469894,39248.1544,42031396,566,87
11??3ì£?(2021.11.18 ~ 2021.11.24),4461,7.842857143,3.1,13.5,0.614285714,1194.43,469894,39248.1544,42031396,566,87
11??4ì£?(2021.11.25 ~ 2021.12.01),4436,4.871428571,-0.3,11.05714286,3.328571429,1180,469894,39248.1544,42031396,566,87
12??1ì£?(2021.12.02 ~ 2021.12.08),4493,3.785714286,-1.428571429,10.22857143,0.171428571,1180.86,664050,64011.184,42031396,566,87.47
12??2ì£?(2021.12.09 ~ 2021.12.15),4217,4.528571429,-0.457142857,9.885714286,0.171428571,1187.7,664050,64011.184,42031396,566,87
12??3ì£?(2021.12.16 ~ 2021.12.22),4123,2.171428571,-3.128571429,8.2,0.285714286,1185.99,664050,64011.184,42031396,566,87
12??4ì£?(2021.12.23 ~ 2021.12.29),4100,-1.742857143,-6.728571429,3.728571429,0.285714286,1187.96,664050,64011.184,42031396,566,87
12??5ì£?(2021.12.30 ~ 2022.01.05),4195,-1.628571429,-6.557142857,3.757142857,0.1,1197.63,664050,64011.184,42031396,566,87
01??1ì£?(2022.01.06 ~ 2022.01.12),4426,-0.914285714,-6.314285714,5.228571429,0.042857143,1190.07,263702,25583.6291,45813958,580,87.85
01??2ì£?(2022.01.13 ~ 2022.01.19),4335,-2.528571429,-7.7,2.957142857,0.114285714,1192.51,263702,25583.6291,45813958,580,88
01??3ì£?(2022.01.20 ~ 2022.01.26),3992,1.271428571,-3.6,6.728571429,0.114285714,1209.56,263702,25583.6291,45813958,580,88
01??4ì£?(2022.01.27 ~ 2022.01.28),4005,-0.571428571,-5.071428571,4.742857143,0.128571429,1198.25,263702,25583.6291,45813958,580,88
02??1ì£?(2022.02.03 ~ 2022.02.09),3989,-1.757142857,-6.985714286,3.728571429,0.057142857,1199.48,232516,23736.3334,45813958,580,88.1
02??2ì£?(2022.02.10 ~ 2022.02.16),4071,1.428571429,-3.528571429,7.514285714,0.171428571,1195.59,232516,23736.3334,45813958,580,88
02??3ì£?(2022.02.17 ~ 2022.02.23),4147,-2.257142857,-7.314285714,3.185714286,0.028571429,1197.57,232516,23736.3334,45813958,580,88
02??4ì£?(2022.02.24 ~ 2022.03.02),4179,3.771428571,-2.885714286,10.45714286,0.471428571,1217.45,232516,23736.3334,45813958,580,88
03??1ì£?(2022.03.03 ~ 2022.03.08),4213,4.928571429,-1.757142857,12.14285714,0,1237.08,402279,46552.1513,45813958,580,89.49
03??2ì£?(2022.03.10 ~ 2022.03.16),4379,10.61428571,4.428571429,16.97142857,3.257142857,1211.15,402279,46552.1513,45813958,580,89
03??3ì£?(2022.03.17 ~ 2022.03.23),4499,5.914285714,2.271428571,10.12857143,3.314285714,1225.08,402279,46552.1513,45813958,580,89
03??4ì£?(2022.03.24 ~ 2022.03.30),4656,9.771428571,3.142857143,16.25714286,5.742857143,1219.73,402279,46552.1513,45813958,580,89
03??5ì£?(2022.03.31 ~ 2022.04.06),4890,9.471428571,2.757142857,16.28571429,0.157142857,1229.19,402279,46552.1513,45813958,580,89
04??1ì£?(2022.04.07 ~ 2022.04.13),4879,15.54285714,8.757142857,22.57142857,1.557142857,1228.19,254057,32437.4204,45813958,580,99.37
04??2ì£?(2022.04.14 ~ 2022.04.20),4954,12.85714286,6.357142857,19.82857143,0.242857143,1244.11,254057,32437.4204,45813958,580,99
04??3ì£?(2022.04.21 ~ 2022.04.27),5114,16.87142857,11.24285714,23.01428571,4.7,1263.03,254057,32437.4204,45813958,580,99
04??4ì£?(2022.04.28 ~ 2022.05.04),5180,13.37142857,7.314285714,19.61428571,2.014285714,1269.99,254057,32437.4204,45813958,580,99
05??1ì£?(2022.05.06 ~ 2022.05.11),5299,16.9,10.62857143,23.42857143,0.185714286,1278.45,569153,59970.4795,45813958,580,97.2
05??2ì£?(2022.05.12 ~ 2022.05.18),4479,17.05714286,10.65714286,23.4,0.128571429,1273.59,569153,59970.4795,45813958,580,97
05??3ì£?(2022.05.19 ~ 2022.05.25),3977,20.62857143,14.18571429,27.44285714,0.2,1251.99,569153,59970.4795,45813958,580,97
05??4ì£?(2022.05.26 ~ 2022.05.31),4015,20.58571429,14.21428571,27.07142857,0.271428571,1250.58,569153,59970.4795,45813958,580,97
06??1ì£?(2022.06.02 ~ 2022.06.08),4028,19.5,15.05714286,24.71428571,4.842857143,1279.32,340627,30860.4928,45813958,580,93.6
06??2ì£?(2022.06.09 ~ 2022.06.15),4163,19.88571429,15.78571429,24.78571429,2.671428571,1291.26,340627,30860.4928,45813958,580,94
06??3ì£?(2022.06.16 ~ 2022.06.22),4197,24.05714286,19.4,29.47142857,0.385714286,1288.89,340627,30860.4928,45813958,580,94
06??4ì£?(2022.06.23 ~ 2022.06.29),4081,25.72857143,22.87142857,29.08571429,13.4,1298.67,340627,30860.4928,45813958,580,94
06??5ì£?(2022.06.30 ~ 2022.07.06),4215,26.88571429,22.9,31.91428571,6.257142857,1294.68,340627,30860.4928,45813958,580,94
07??1ì£?(2022.07.07 ~ 2022.07.13),4519,26.05714286,23.2,29.88571429,8.557142857,1317.74,85464,9658.632,45813958,580,121.92
07??2ì£?(2022.07.14 ~ 2022.07.20),4817,25.08571429,21.52857143,29.65714286,6.885714286,1310.01,85464,9658.632,45813958,580,122
07??3ì£?(2022.07.21 ~ 2022.07.27),5721,24.88571429,21.7,29.07142857,5.557142857,1302.97,85464,9658.632,45813958,580,122
07??4ì£?(2022.07.28 ~ 2022.08.03),6580,27.14285714,24.27142857,30.74285714,8.9,1302.24,85464,9658.632,45813958,580,122
08??1ì£?(2022.08.04 ~ 2022.08.10),6257,27.78571429,24.97142857,31.44285714,13.88571429,1301.31,3572,1106.3292,45813958,580,159.3
08??2ì£?(2022.08.11 ~ 2022.08.17),6184,26.14285714,23.41428571,29.74285714,13.6,1335.61,3572,1106.3292,45813958,580,159
08??3ì£?(2022.08.18 ~ 2022.08.24),6024,24.9,21.21428571,29.02857143,5.314285714,1341.81,3572,1106.3292,45813958,580,159
08??4ì£?(2022.08.25 ~ 2022.08.31),5740,21.31428571,17.64285714,25.45714286,6.228571429,1361.15,3572,1106.3292,45813958,580,159
09??1ì£?(2022.09.01 ~ 2022.09.07),7149,21.92857143,18.31428571,26.25714286,19.81428571,1379.77,3131,1136.4636,45813958,580,210.56
09??2ì£?(2022.09.08 ~ 2022.09.14),8712,22.01428571,17.92857143,26.98571429,0.185714286,1384.77,3131,1136.4636,45813958,580,211
09??3ì£?(2022.09.15 ~ 2022.09.21),9169,22.61428571,18.42857143,27.54285714,1.485714286,1421.34,3131,1136.4636,45813958,580,211
09??4ì£?(2022.09.22 ~ 2022.09.28),7933,17.92857143,12.85714286,24.34285714,0.057142857,1439.96,3131,1136.4636,45813958,580,211
09??5ì£?(2022.09.29 ~ 2022.10.05),7238,19.21428571,14.37142857,25.37142857,7.957142857,1424.94,3131,1136.4636,45813958,580,211
10??1ì£?(2022.10.06 ~ 2022.10.12),6336,13.52857143,9.7,18.35714286,2.428571429,1440.44,455794,49036.6075,45813958,580,145.2
10??2ì£?(2022.10.13 ~ 2022.10.19),5910,13.58571429,8.114285714,20.12857143,0,1428.32,455794,49036.6075,45813958,580,145
10??3ì£?(2022.10.20 ~ 2022.10.26),4923,11.81428571,5.8,18.72857143,0.428571429,1421.66,455794,49036.6075,45813958,580,145
10??4ì£?(2022.10.27 ~ 2022.11.02),4528,12.3,6.814285714,19.62857143,0.271428571,1403.29,455794,49036.6075,45813958,580,145
11??1ì£?(2022.11.03 ~ 2022.11.09),4081,8.671428571,2.4,16.17142857,0,1313.69,894672,87630.7597,45813958,580,78.36
11??2ì£?(2022.11.10 ~ 2022.11.16),3191,11.44285714,6.271428571,17.82857143,3.542857143,1339.71,894672,87630.7597,45813958,580,78
11??3ì£?(2022.11.17 ~ 2022.11.23),3040,10.27142857,4.942857143,17.05714286,1.385714286,1334.48,894672,87630.7597,45813958,580,78
11??4ì£?(2022.11.24 ~ 2022.11.30),2913,7.514285714,1.542857143,14.02857143,3.871428571,1297.89,894672,87630.7597,45813958,580,78
12??1ì£?(2022.12.01 ~ 2022.12.07),2561,0.571428571,-3.8,5.414285714,0.085714286,1303.87,960956,86333.6556,45813958,558,62.24
12??2ì£?(2022.12.08 ~ 2022.12.14),2633,1.728571429,-2.957142857,7.214285714,0.442857143,1309.47,960956,86333.6556,45813958,558,62
12??3ì£?(2022.12.15 ~ 2022.12.21),2648,-3.342857143,-8.085714286,1.442857143,1.142857143,1279.55,960956,86333.6556,45813958,558,62
12??4ì£?(2022.12.22 ~ 2022.12.28),2568,-4.342857143,-8.928571429,1.271428571,0.514285714,1260.92,960956,86333.6556,45813958,558,62
12??5ì£?(2022.12.29 ~ 2023.01.04),2501,-1.6,-6.514285714,4.1,0,1253.5,960956,86333.6556,45813958,558,62
01??1ì£?(2023.01.05 ~ 2023.01.11),2513,1.442857143,-4.185714286,8.257142857,0.328571429,1237.26,675337,58266.2932,25883500,558,64.34
01??2ì£?(2023.01.12 ~ 2023.01.18),2530,2.557142857,-1.571428571,7,5.271428571,1228.86,675337,58266.2932,25883500,558,64
01??3ì£?(2023.01.19 ~ 2023.01.25),2524,-3.442857143,-8.657142857,2.657142857,0.071428571,1229.62,675337,58266.2932,25883500,558,64
01??4ì£?(2023.01.26 ~ 2023.02.01),2573,-1.771428571,-7.671428571,3.657142857,0.1,1247.46,675337,58266.2932,25883500,558,64
02??1ì£?(2023.02.02 ~ 2023.02.08),2572,0.828571429,-4.757142857,7.8,0,1267.45,351943,31924.7238,25883500,558,69.02
