week,¼Ò¸Å°¡,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,ÃÖ°í±â¿Â,°­¼ö·®,È¯À²,¼öÀÔ·®,¼öÀÔ¾×,»ý»ê·®,Àç¹è¸éÀû,¹°°¡Áö¼ö
08??2ì£?(2014.08.14 ~ 2014.08.20),1325,22.75714286,20.47142857,26.02857143,17.71428571,1018,83.625,4717.485625,3312.414175,459.8269231,55.873
08??3ì£?(2014.08.21 ~ 2014.08.27),1238,23.87142857,20.94285714,27.94285714,13.11428571,1014.1,83.625,4717.485625,3312.414175,459.8269231,55.873
08??4ì£?(2014.08.28 ~ 2014.09.03),1297,21.74285714,17.88571429,26.51428571,6.3,1024.65,83.625,4717.485625,3312.414175,459.8269231,55.873
09??1ì£?(2014.09.04 ~ 2014.09.05),1325,22.54285714,17.85714286,28.74285714,0.142857143,1035.3,103.25,5627.861475,3312.414175,459.8269231,55.798
09??2ì£?(2014.09.11 ~ 2014.09.17),1311,21.1,16.67142857,26.62857143,0.428571429,1044.2,103.25,5627.861475,3312.414175,459.8269231,55.798
09??3ì£?(2014.09.18 ~ 2014.09.24),1377,19.45714286,14.38571429,25.47142857,10,1044.35,103.25,5627.861475,3312.414175,459.8269231,55.798
09??4ì£?(2014.09.25 ~ 2014.10.01),1368,19.71428571,16,24.7,0.985714286,1061.35,103.25,5627.861475,3312.414175,459.8269231,55.798
10??1ì£?(2014.10.02 ~ 2014.10.08),1346,16.31428571,11.05714286,22.51428571,0.4,1074.1,97.125,5125.471,3312.414175,459.8269231,56.855
10??2ì£?(2014.10.10 ~ 2014.10.15),1336,16.1,10.38571429,22.5,2.128571429,1063.37,97.125,5125.471,3312.414175,459.8269231,56.855
10??3ì£?(2014.10.16 ~ 2014.10.22),1376,14.1,8.871428571,20.02857143,10.72857143,1057.5,97.125,5125.471,3312.414175,459.8269231,56.855
10??4ì£?(2014.10.23 ~ 2014.10.29),1347,12.87142857,7,20.6,0.014285714,1073.6,97.125,5125.471,3312.414175,459.8269231,56.855
10??5ì£?(2014.10.30 ~ 2014.11.05),1290,11.62857143,6.871428571,17.07142857,3.928571429,1086.84,97.125,5125.471,3312.414175,459.8269231,56.855
11??1ì£?(2014.11.06 ~ 2014.11.12),1279,10.11428571,4.885714286,16.2,0.8,1100.84,89.75,5133.277875,3312.414175,459.8269231,56.293
11??2ì£?(2014.11.13 ~ 2014.11.19),1321,5.514285714,0.628571429,11.52857143,0.142857143,1111.25,89.75,5133.277875,3312.414175,459.8269231,56.293
11??3ì£?(2014.11.20 ~ 2014.11.26),1305,8.828571429,4.285714286,14.34285714,4.414285714,1113.17,89.75,5133.277875,3312.414175,459.8269231,56.293
11??4ì£?(2014.11.27 ~ 2014.12.03),1233,5.571428571,1.371428571,10.11428571,2.885714286,1121.6,89.75,5133.277875,3312.414175,459.8269231,56.293
12??1ì£?(2014.12.04 ~ 2014.12.10),1264,-0.657142857,-4.7,3.971428571,0.771428571,1104.35,96.0425,5567.886,3312.414175,459.8269231,56.758
12??2ì£?(2014.12.11 ~ 2014.12.17),1301,-0.957142857,-4.957142857,2.957142857,1.571428571,1100.11,96.0425,5567.886,3312.414175,459.8269231,56.758
12??3ì£?(2014.12.18 ~ 2014.12.24),1252,-1.271428571,-6.385714286,3.928571429,0.571428571,1099.8,96.0425,5567.886,3312.414175,459.8269231,56.758
12??4ì£?(2014.12.26 ~ 2014.12.31),1303,0.385714286,-4.357142857,6.171428571,0.128571429,1106.92,96.0425,5567.886,3312.414175,459.8269231,56.758
01??1ì£?(2015.01.02 ~ 2015.01.07),1318,-0.857142857,-5.628571429,4.542857143,1.371428571,1085.82,123.5,6451.72605,227.925,346.4423077,55.948
01??2ì£?(2015.01.08 ~ 2015.01.14),1320,0.1,-4.8,5.642857143,0.071428571,1079.07,123.5,6451.72605,227.925,346.4423077,55.948
01??3ì£?(2015.01.15 ~ 2015.01.21),1321,1.385714286,-3.214285714,6.142857143,0.757142857,1077.51,123.5,6451.72605,227.925,346.4423077,55.948
01??4ì£?(2015.01.22 ~ 2015.01.28),1265,2.114285714,-1.771428571,6.7,1.142857143,1102.4,123.5,6451.72605,227.925,346.4423077,55.948
01??5ì£?(2015.01.29 ~ 2015.02.04),1324,-0.414285714,-5.157142857,5.242857143,0.228571429,1098.01,123.5,6451.72605,227.925,346.4423077,55.948
02??1ì£?(2015.02.05 ~ 2015.02.11),1271,0.385714286,-4.5,5.914285714,0.057142857,1097.88,85.75,5218.65675,227.925,346.4423077,58.228
02??2ì£?(2015.02.12 ~ 2015.02.17),1332,2.742857143,-1.214285714,6.885714286,2.028571429,1110.56,85.75,5218.65675,227.925,346.4423077,58.228
02??4ì£?(2015.02.23 ~ 2015.02.25),1333,4.428571429,-0.171428571,9.771428571,1.314285714,1101.28,85.75,5218.65675,227.925,346.4423077,58.228
02??4ì£?(2015.02.26 ~ 2015.03.04),1330,2.257142857,-1.9,6.942857143,0.785714286,1110.81,85.75,5218.65675,227.925,346.4423077,58.228
03??1ì£?(2015.03.05 ~ 2015.03.11),1345,2.8,-3.685714286,9.457142857,0.014285714,1138.12,96.9175,5309.06565,227.925,346.4423077,58.402
03??2ì£?(2015.03.12 ~ 2015.03.18),1337,7.271428571,0.742857143,14.12857143,4.714285714,1113.51,96.9175,5309.06565,227.925,346.4423077,58.402
03??3ì£?(2015.03.19 ~ 2015.03.25),1305,8.771428571,2.642857143,15.98571429,0.071428571,1103.73,96.9175,5309.06565,227.925,346.4423077,58.402
03??4ì£?(2015.03.26 ~ 2015.04.01),1300,11.2,4.342857143,18.05714286,0.714285714,1086.48,96.9175,5309.06565,227.925,346.4423077,58.402
04??1ì£?(2015.04.02 ~ 2015.04.08),1324,10.45714286,7.185714286,14.67142857,6.128571429,1093.96,93.63,5401.685025,227.925,346.4423077,63.709
04??2ì£?(2015.04.09 ~ 2015.04.15),1404,10.54285714,5.085714286,16.45714286,2.757142857,1083.79,93.63,5401.685025,227.925,346.4423077,63.709
04??3ì£?(2015.04.16 ~ 2015.04.22),1432,12.71428571,6.642857143,19.24285714,4.328571429,1076.39,93.63,5401.685025,227.925,346.4423077,63.709
04??4ì£?(2015.04.23 ~ 2015.04.29),1598,16.57142857,9.414285714,23.57142857,4.485714286,1081.35,93.63,5401.685025,227.925,346.4423077,63.709
04??5ì£?(2015.04.30 ~ 2015.05.06),1745,17.14285714,11.32857143,23.22857143,2.142857143,1087.99,86,4667.270725,227.925,346.4423077,63.709
05??1ì£?(2015.05.07 ~ 2015.05.13),1778,17.11428571,11.14285714,23.21428571,4.714285714,1083.72,86,4667.270725,227.925,346.4423077,70.183
05??2ì£?(2015.05.14 ~ 2015.05.20),1736,18.1,12.47142857,24.18571429,0.857142857,1096.68,86,4667.270725,227.925,346.4423077,70.183
05??3ì£?(2015.05.21 ~ 2015.05.27),1607,20.47142857,12.68571429,28.42857143,0,1113.01,86,4667.270725,227.925,346.4423077,70.183
05??4ì£?(2015.05.28 ~ 2015.06.03),1506,21.27142857,15.45714286,27.62857143,0.442857143,1124.54,86,4667.270725,227.925,346.4423077,70.183
06??1ì£?(2015.06.04 ~ 2015.06.10),1476,20.58571429,14.58571429,26.85714286,0.642857143,1112.17,128.24,7304.2554,227.925,346.4423077,77.231
06??2ì£?(2015.06.11 ~ 2015.06.17),1530,22.34285714,18.21428571,27.67142857,1.742857143,1103.2,128.24,7304.2554,227.925,346.4423077,77.231
06??3ì£?(2015.06.18 ~ 2015.06.24),1587,21.91428571,17.94285714,26.98571429,2.714285714,1122.95,128.24,7304.2554,227.925,346.4423077,77.231
06??4ì£?(2015.06.25 ~ 2015.07.01),1723,21.98571429,18.55714286,26.48571429,8.614285714,1122.6,128.24,7304.2554,227.925,346.4423077,77.231
07??1ì£?(2015.07.02 ~ 2015.07.08),1766,21.57142857,17.34285714,26.31428571,5.371428571,1131.2,102.925,6154.340625,227.925,346.4423077,76.456
07??2ì£?(2015.07.09 ~ 2015.07.15),1916,24.6,21.3,28.91428571,11.11428571,1150.18,102.925,6154.340625,227.925,346.4423077,76.456
07??3ì£?(2015.07.16 ~ 2015.07.22),1941,23.72857143,20.64285714,27.75714286,1.642857143,1170.35,102.925,6154.340625,227.925,346.4423077,76.456
07??4ì£?(2015.07.23 ~ 2015.07.29),1917,26.61428571,23.71428571,30.35714286,7.5,1166.67,102.925,6154.340625,227.925,346.4423077,76.456
07??5ì£?(2015.07.30 ~ 2015.08.05),2006,27.95714286,23.94285714,33.11428571,0.9,1164.7,102.925,6154.340625,227.925,346.4423077,76.456
08??1ì£?(2015.08.06 ~ 2015.08.12),2034,26.58571429,22.5,31.97142857,2.971428571,1179.33,170.7225,11054.12715,227.925,346.4423077,88.064
08??2ì£?(2015.08.13 ~ 2015.08.19),2038,25.12857143,21.08571429,30.35714286,2.271428571,1195.85,170.7225,11054.12715,227.925,346.4423077,88.064
08??3ì£?(2015.08.20 ~ 2015.08.26),2047,23.61428571,20.87142857,27.54285714,8.9,1179.87,170.7225,11054.12715,227.925,346.4423077,88.064
08??4ì£?(2015.08.27 ~ 2015.09.02),2147,23.22857143,19.18571429,28.51428571,2.957142857,1201.33,170.7225,11054.12715,227.925,346.4423077,88.064
09??1ì£?(2015.09.03 ~ 2015.09.09),2116,21.4,17.02857143,26.71428571,2.557142857,1182.69,169.1505,11555.32013,227.925,346.4423077,97.931
09??2ì£?(2015.09.10 ~ 2015.09.16),2102,19.47142857,14.02857143,25.32857143,0.985714286,1173.04,169.1505,11555.32013,227.925,346.4423077,97.931
09??3ì£?(2015.09.17 ~ 2015.09.23),2141,19.97142857,15.04285714,26.02857143,1.828571429,1193.07,169.1505,11555.32013,227.925,346.4423077,97.931
09??4ì£?(2015.09.24 ~ 2015.09.30),2199,20.22857143,15.15714286,26.4,0.414285714,1173.1,169.1505,11555.32013,227.925,346.4423077,97.931
10??1ì£?(2015.10.01 ~ 2015.10.07),2215,17.05714286,11.17142857,23.94285714,5.342857143,1148.05,200.00625,12372.1969,227.925,346.4423077,105.431
10??2ì£?(2015.10.08 ~ 2015.10.14),2261,14.74285714,9.328571429,21.01428571,1.142857143,1131.44,200.00625,12372.1969,227.925,346.4423077,105.431
10??3ì£?(2015.10.15 ~ 2015.10.21),2126,16.27142857,10.58571429,24.11428571,0.042857143,1136.01,200.00625,12372.1969,227.925,346.4423077,105.431
10??4ì£?(2015.10.22 ~ 2015.10.28),2099,14.67142857,10.02857143,20.24285714,2.6,1141.16,200.00625,12372.1969,227.925,346.4423077,105.431
10??5ì£?(2015.10.29 ~ 2015.11.04),2149,9.042857143,3.414285714,15.55714286,0.1,1152.78,200.00625,12372.1969,227.925,346.4423077,105.431
11??1ì£?(2015.11.05 ~ 2015.11.11),2268,12.65714286,9.214285714,16.77142857,7.114285714,1170.34,179.97725,11273.8752,227.925,346.4423077,107.772
11??2ì£?(2015.11.12 ~ 2015.11.18),2331,13.08571429,10.31428571,16.22857143,7.014285714,1154.62,179.97725,11273.8752,227.925,346.4423077,107.772
11??3ì£?(2015.11.19 ~ 2015.11.25),2389,9.585714286,6.914285714,12.64285714,3.442857143,1156.83,179.97725,11273.8752,227.925,346.4423077,107.772
11??4ì£?(2015.11.26 ~ 2015.12.02),2514,4.114285714,0.314285714,8.614285714,1.514285714,1163.64,179.97725,11273.8752,227.925,346.4423077,107.772
12??1ì£?(2015.12.03 ~ 2015.12.09),2557,4.114285714,-0.342857143,9.057142857,0.5,1187.58,188.8885,12057.1258,227.925,346.4423077,112.801
12??2ì£?(2015.12.10 ~ 2015.12.16),2660,6.3,3.057142857,9.842857143,3.514285714,1182.43,188.8885,12057.1258,227.925,346.4423077,112.801
12??3ì£?(2015.12.17 ~ 2015.12.23),2683,2.242857143,-1.871428571,6.914285714,0.657142857,1170.95,188.8885,12057.1258,227.925,346.4423077,112.801
12??4ì£?(2015.12.24 ~ 2015.12.30),2637,0.814285714,-3.828571429,6.057142857,0.185714286,1175.45,188.8885,12057.1258,227.925,346.4423077,112.801
12??5ì£?(2015.12.31 ~ 2016.01.06),2625,3.042857143,-1.542857143,8.271428571,0.114285714,1207.94,188.8885,12057.1258,275.727825,346.4423077,112.801
01??1ì£?(2016.01.07 ~ 2016.01.13),2652,-0.242857143,-4.2,4.385714286,0.114285714,1214.81,1803.55,11969.78645,275.727825,382.6153846,127.906
01??2ì£?(2016.01.14 ~ 2016.01.20),2581,-2.114285714,-6.285714286,2.657142857,0.742857143,1197.57,1803.55,11969.78645,275.727825,382.6153846,127.906
01??3ì£?(2016.01.21 ~ 2016.01.27),2585,-4.971428571,-9.628571429,-0.271428571,0.442857143,1208.11,1803.55,11969.78645,275.727825,382.6153846,127.906
01??4ì£?(2016.01.28 ~ 2016.02.03),2568,-0.542857143,-4.542857143,3.8,2.214285714,1206.35,1803.55,11969.78645,275.727825,382.6153846,127.906
02??1ì£?(2016.02.04 ~ 2016.02.05),2632,0.5,-5.171428571,6.471428571,0.1,1207,158.265,10242.3937,275.727825,382.6153846,126.392
02??2ì£?(2016.02.11 ~ 2016.02.17),2707,3.9,-0.671428571,8.857142857,4.828571429,1233.87,158.265,10242.3937,275.727825,382.6153846,126.392
02??3ì£?(2016.02.18 ~ 2016.02.24),2661,2.514285714,-2.114285714,7.385714286,0.128571429,1243.13,158.265,10242.3937,275.727825,382.6153846,126.392
02??4ì£?(2016.02.25 ~ 2016.03.02),2622,1.757142857,-3.342857143,7.2,1.185714286,1198.5,158.265,10242.3937,275.727825,382.6153846,126.392
03??1ì£?(2016.03.03 ~ 2016.03.09),2652,8.085714286,3.442857143,13.2,6.414285714,1187.9,192.779,12393.4239,275.727825,382.6153846,128.393
03??2ì£?(2016.03.10 ~ 2016.03.16),2672,3.914285714,-1.285714286,9.757142857,0.042857143,1164.3,192.779,12393.4239,275.727825,382.6153846,128.393
03??3ì£?(2016.03.17 ~ 2016.03.23),2661,9.428571429,3.671428571,15.77142857,1.414285714,1169.05,192.779,12393.4239,275.727825,382.6153846,128.393
03??4ì£?(2016.03.24 ~ 2016.03.30),2567,8.4,2.1,15.01428571,0.142857143,1147.89,192.779,12393.4239,275.727825,382.6153846,128.393
03??5ì£?(2016.03.31 ~ 2016.04.06),2656,12.45714286,6.014285714,19.48571429,3.357142857,1151.64,192.779,12393.4239,275.727825,382.6153846,128.393
04??1ì£?(2016.04.07 ~ 2016.04.12),2617,13.24285714,8.214285714,19.5,5.171428571,1146.99,109.2025,7243.3347,275.727825,382.6153846,126.592
04??2ì£?(2016.04.14 ~ 2016.04.20),2622,13.64285714,8.157142857,19.8,5.8,1149.99,109.2025,7243.3347,275.727825,382.6153846,126.592
04??3ì£?(2016.04.21 ~ 2016.04.27),2396,15.1,9.571428571,21.5,7.885714286,1144.83,109.2025,7243.3347,275.727825,382.6153846,126.592
04??4ì£?(2016.04.28 ~ 2016.05.04),1972,16.25714286,10.34285714,22.57142857,5.328571429,1169.3,109.2025,7243.3347,275.727825,382.6153846,126.592
05??2ì£?(2016.05.09 ~ 2016.05.11),1958,16.9,11.57142857,22.74285714,3.385714286,1176.8,195.78825,12844.6805,275.727825,382.6153846,119.692
05??2ì£?(2016.05.12 ~ 2016.05.18),1827,17.64285714,10.71428571,24.77142857,2.657142857,1186.2,195.78825,12844.6805,275.727825,382.6153846,119.692
05??3ì£?(2016.05.19 ~ 2016.05.25),1577,19.78571429,12.88571429,26.81428571,2.9,1186.25,195.78825,12844.6805,275.727825,382.6153846,119.692
05??4ì£?(2016.05.26 ~ 2016.06.01),1547,20.98571429,15.65714286,27.14285714,0.171428571,1163.55,195.78825,12844.6805,275.727825,382.6153846,119.692
06??1ì£?(2016.06.02 ~ 2016.06.08),1494,20.55714286,15.92857143,25.57142857,0.942857143,1171.53,130.12,8164.651125,275.727825,382.6153846,86.115
06??2ì£?(2016.06.09 ~ 2016.06.15),1523,22.54285714,18.72857143,27.45714286,1.442857143,1170.46,130.12,8164.651125,275.727825,382.6153846,86.115
06??3ì£?(2016.06.16 ~ 2016.06.22),1546,23.2,19.07142857,28.18571429,2.414285714,1171.95,130.12,8164.651125,275.727825,382.6153846,86.115
06??4ì£?(2016.06.23 ~ 2016.06.29),1544,22.75714286,18.67142857,27.47142857,4.685714286,1150,130.12,8164.651125,275.727825,382.6153846,86.115
06??5ì£?(2016.06.30 ~ 2016.07.06),1533,23.6,21.02857143,27.11428571,31.94285714,1149.8,130.12,8164.651125,275.727825,382.6153846,86.115
